protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_005511,scPDB:2npf_1:accepted,2npf_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005511/protein_group_005511_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005511/protein_group_005511_pocket_union.pdb,1,1,822,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005511/source_sample_ids.txt,template
protein_group_005512,scPDB:3pne_3:accepted_pseudo_chainA,3pne_3,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005512/protein_group_005512_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005512/protein_group_005512_pocket_union.pdb,1,1,822,21,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005512/source_sample_ids.txt,template
protein_group_005513,scPDB:3zhr_1:accepted_dominant_chain,3zhr_1,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005513/protein_group_005513_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005513/protein_group_005513_pocket_union.pdb,1,1,822,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005513/source_sample_ids.txt,template
protein_group_005514,scPDB:4fjz_1:accepted,4fjz_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005514/protein_group_005514_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005514/protein_group_005514_pocket_union.pdb,1,1,822,36,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005514/source_sample_ids.txt,template
protein_group_005515,scPDB:4ja8_1:accepted_pseudo_chainA,4ja8_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005515/protein_group_005515_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005515/protein_group_005515_pocket_union.pdb,1,1,822,41,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005515/source_sample_ids.txt,template
protein_group_005516,PDBbind2020:1u2r:accepted,1u2r,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005516/protein_group_005516_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005516/protein_group_005516_pocket_union.pdb,1,1,821,58,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005516/source_sample_ids.txt,template
protein_group_005517,scPDB:1g8j_3:accepted,1g8j_3,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005517/protein_group_005517_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005517/protein_group_005517_pocket_union.pdb,1,1,821,61,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005517/source_sample_ids.txt,template
protein_group_005518,scPDB:4ckc_2:accepted,4ckc_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005518/protein_group_005518_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005518/protein_group_005518_pocket_union.pdb,1,1,821,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005518/source_sample_ids.txt,template
protein_group_005519,PDBbind2020:4ajw:accepted,4ajw,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005519/protein_group_005519_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005519/protein_group_005519_pocket_union.pdb,1,1,820,78,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005519/source_sample_ids.txt,template
protein_group_005520,scPDB:3fc5_1:accepted_pseudo_chainA,3fc5_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005520/protein_group_005520_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005520/protein_group_005520_pocket_union.pdb,1,1,820,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005520/source_sample_ids.txt,template
protein_group_005521,scPDB:3qk0_1:accepted,3qk0_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005521/protein_group_005521_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005521/protein_group_005521_pocket_union.pdb,1,1,820,33,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005521/source_sample_ids.txt,template
protein_group_005522,scPDB:3wrb_1:accepted_pseudo_chainA,3wrb_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005522/protein_group_005522_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005522/protein_group_005522_pocket_union.pdb,1,1,820,20,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005522/source_sample_ids.txt,template
protein_group_005523,scPDB:1n0u_1:accepted,1n0u_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005523/protein_group_005523_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005523/protein_group_005523_pocket_union.pdb,1,1,819,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005523/source_sample_ids.txt,template
protein_group_005524,PDBbind2020:4jfe:accepted_pseudo_chainA,4jfe,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005524/protein_group_005524_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005524/protein_group_005524_pocket_union.pdb,1,1,818,173,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005524/source_sample_ids.txt,template
protein_group_005525,PDBbind2020:4jff:accepted_pseudo_chainA,4jff,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005525/protein_group_005525_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005525/protein_group_005525_pocket_union.pdb,1,1,818,171,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005525/source_sample_ids.txt,template
protein_group_005526,scPDB:1u2r_1:accepted,1u2r_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005526/protein_group_005526_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005526/protein_group_005526_pocket_union.pdb,1,1,818,29,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005526/source_sample_ids.txt,template
protein_group_005527,PDBbind2020:4jfd:accepted_pseudo_chainA,4jfd,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005527/protein_group_005527_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005527/protein_group_005527_pocket_union.pdb,1,1,817,172,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005527/source_sample_ids.txt,template
protein_group_005528,PDBbind2020:6bj3:accepted_pseudo_chainA,6bj3,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005528/protein_group_005528_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005528/protein_group_005528_pocket_union.pdb,1,1,817,165,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005528/source_sample_ids.txt,template
protein_group_005529,scPDB:1k08_1:accepted,1k08_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005529/protein_group_005529_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005529/protein_group_005529_pocket_union.pdb,1,1,817,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005529/source_sample_ids.txt,template
protein_group_005530,PDBbind2020:3o4l:accepted_pseudo_chainA,3o4l,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005530/protein_group_005530_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005530/protein_group_005530_pocket_union.pdb,1,1,816,164,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005530/source_sample_ids.txt,template
protein_group_005531,PDBbind2020:4mnq:accepted_pseudo_chainA,4mnq,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005531/protein_group_005531_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005531/protein_group_005531_pocket_union.pdb,1,1,816,181,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005531/source_sample_ids.txt,template
protein_group_005532,PDBbind2020:4prp:accepted_pseudo_chainA,4prp,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005532/protein_group_005532_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005532/protein_group_005532_pocket_union.pdb,1,1,816,173,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005532/source_sample_ids.txt,template
protein_group_005533,scPDB:1mmv_1:accepted_pseudo_chainA,1mmv_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005533/protein_group_005533_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005533/protein_group_005533_pocket_union.pdb,1,1,816,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005533/source_sample_ids.txt,template
protein_group_005534,scPDB:2v18_2:accepted_pseudo_chainA,2v18_2,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005534/protein_group_005534_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005534/protein_group_005534_pocket_union.pdb,1,1,816,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005534/source_sample_ids.txt,template
protein_group_005535,scPDB:4paa_1:accepted,4paa_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005535/protein_group_005535_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005535/protein_group_005535_pocket_union.pdb,1,1,816,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005535/source_sample_ids.txt,template
protein_group_005536,PDBbind2020:1z6p:accepted_dominant_chain,1z6p,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005536/protein_group_005536_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005536/protein_group_005536_pocket_union.pdb,1,1,815,64,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005536/source_sample_ids.txt,template
protein_group_005537,PDBbind2020:6dkp:accepted_pseudo_chainA,6dkp,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005537/protein_group_005537_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005537/protein_group_005537_pocket_union.pdb,1,1,815,175,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005537/source_sample_ids.txt,template
protein_group_005538,PDBbind2020:6mja:accepted_pseudo_chainA,6mja,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005538/protein_group_005538_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005538/protein_group_005538_pocket_union.pdb,1,1,815,181,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005538/source_sample_ids.txt,template
protein_group_005539,scPDB:3g2n_1:accepted,3g2n_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005539/protein_group_005539_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005539/protein_group_005539_pocket_union.pdb,1,1,815,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005539/source_sample_ids.txt,template
protein_group_005540,PDBbind2020:5gut:accepted,5gut,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005540/protein_group_005540_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005540/protein_group_005540_pocket_union.pdb,1,1,814,93,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005540/source_sample_ids.txt,template
protein_group_005541,PDBbind2020:5isz:accepted_pseudo_chainA,5isz,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005541/protein_group_005541_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005541/protein_group_005541_pocket_union.pdb,1,1,814,162,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005541/source_sample_ids.txt,template
protein_group_005542,PDBbind2020:6d78:accepted_pseudo_chainA,6d78,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005542/protein_group_005542_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005542/protein_group_005542_pocket_union.pdb,1,1,814,160,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005542/source_sample_ids.txt,template
protein_group_005543,PDBbind2020:6mj4:accepted_pseudo_chainA,6mj4,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005543/protein_group_005543_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005543/protein_group_005543_pocket_union.pdb,1,1,814,180,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005543/source_sample_ids.txt,template
protein_group_005544,PDBbind2020:6mji:accepted_pseudo_chainA,6mji,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005544/protein_group_005544_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005544/protein_group_005544_pocket_union.pdb,1,1,814,180,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005544/source_sample_ids.txt,template
protein_group_005545,scPDB:4ckb_3:accepted,4ckb_3,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005545/protein_group_005545_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005545/protein_group_005545_pocket_union.pdb,1,1,814,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005545/source_sample_ids.txt,template
protein_group_005546,scPDB:4ys0_1:accepted,4ys0_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005546/protein_group_005546_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005546/protein_group_005546_pocket_union.pdb,1,1,814,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005546/source_sample_ids.txt,template
protein_group_005547,PDBbind2020:2v0c:accepted,2v0c,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005547/protein_group_005547_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005547/protein_group_005547_pocket_union.pdb,1,1,813,90,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005547/source_sample_ids.txt,template
protein_group_005548,PDBbind2020:5wfd:accepted_dominant_chain,5wfd,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005548/protein_group_005548_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005548/protein_group_005548_pocket_union.pdb,1,1,813,76,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005548/source_sample_ids.txt,template
protein_group_005549,PDBbind2020:6mjj:accepted_pseudo_chainA,6mjj,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005549/protein_group_005549_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005549/protein_group_005549_pocket_union.pdb,1,1,813,181,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005549/source_sample_ids.txt,template
protein_group_005550,PDBbind2020:6mul:accepted,6mul,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005550/protein_group_005550_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005550/protein_group_005550_pocket_union.pdb,1,1,813,86,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005550/source_sample_ids.txt,template
protein_group_005551,scPDB:2vf7_3:accepted,2vf7_3,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005551/protein_group_005551_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005551/protein_group_005551_pocket_union.pdb,1,1,813,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005551/source_sample_ids.txt,template
protein_group_005552,scPDB:2a4z_1:accepted,2a4z_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005552/protein_group_005552_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005552/protein_group_005552_pocket_union.pdb,1,1,812,28,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005552/source_sample_ids.txt,template
protein_group_005553,scPDB:2qn3_1:accepted,2qn3_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005553/protein_group_005553_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005553/protein_group_005553_pocket_union.pdb,1,1,812,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005553/source_sample_ids.txt,template
protein_group_005554,scPDB:2vyx_3:accepted_pseudo_chainA,2vyx_3,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005554/protein_group_005554_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005554/protein_group_005554_pocket_union.pdb,1,1,812,27,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005554/source_sample_ids.txt,template
protein_group_005555,scPDB:4bz7_3:accepted_pseudo_chainA,4bz7_3,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005555/protein_group_005555_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005555/protein_group_005555_pocket_union.pdb,1,1,812,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005555/source_sample_ids.txt,template
protein_group_005556,PDBbind2020:4prh:accepted_pseudo_chainA,4prh,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005556/protein_group_005556_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005556/protein_group_005556_pocket_union.pdb,1,1,811,177,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005556/source_sample_ids.txt,template
protein_group_005557,PDBbind2020:4v0i:accepted,4v0i,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005557/protein_group_005557_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005557/protein_group_005557_pocket_union.pdb,1,1,811,85,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005557/source_sample_ids.txt,template
protein_group_005558,scPDB:2vmy_1:accepted_pseudo_chainA,2vmy_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005558/protein_group_005558_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005558/protein_group_005558_pocket_union.pdb,1,1,811,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005558/source_sample_ids.txt,template
protein_group_005559,scPDB:5f0a_1:accepted,5f0a_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005559/protein_group_005559_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005559/protein_group_005559_pocket_union.pdb,1,1,811,30,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005559/source_sample_ids.txt,template
protein_group_005560,scPDB:1kl2_1:accepted_pseudo_chainA,1kl2_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005560/protein_group_005560_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005560/protein_group_005560_pocket_union.pdb,1,1,810,32,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005560/source_sample_ids.txt,template
protein_group_005561,scPDB:2v19_8:accepted_pseudo_chainA,2v19_8,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005561/protein_group_005561_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005561/protein_group_005561_pocket_union.pdb,1,1,810,26,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005561/source_sample_ids.txt,template
protein_group_005562,scPDB:3jsx_5:accepted_pseudo_chainA,3jsx_5,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005562/protein_group_005562_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005562/protein_group_005562_pocket_union.pdb,1,1,810,24,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005562/source_sample_ids.txt,template
protein_group_005563,scPDB:3l7a_1:accepted,3l7a_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005563/protein_group_005563_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005563/protein_group_005563_pocket_union.pdb,1,1,810,38,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005563/source_sample_ids.txt,template
protein_group_005564,scPDB:4ckb_1:accepted,4ckb_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005564/protein_group_005564_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005564/protein_group_005564_pocket_union.pdb,1,1,809,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005564/source_sample_ids.txt,template
protein_group_005565,PDBbind2020:1p2g:accepted,1p2g,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005565/protein_group_005565_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005565/protein_group_005565_pocket_union.pdb,1,1,808,53,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005565/source_sample_ids.txt,template
protein_group_005566,scPDB:2qrq_1:accepted,2qrq_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005566/protein_group_005566_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005566/protein_group_005566_pocket_union.pdb,1,1,807,31,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005566/source_sample_ids.txt,template
protein_group_005567,scPDB:3zcs_1:accepted,3zcs_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005567/protein_group_005567_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005567/protein_group_005567_pocket_union.pdb,1,1,807,39,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005567/source_sample_ids.txt,template
protein_group_005568,scPDB:2g9v_1:accepted,2g9v_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005568/protein_group_005568_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005568/protein_group_005568_pocket_union.pdb,1,1,806,23,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005568/source_sample_ids.txt,template
protein_group_005569,scPDB:3g2h_1:accepted,3g2h_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005569/protein_group_005569_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005569/protein_group_005569_pocket_union.pdb,1,1,806,34,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005569/source_sample_ids.txt,template
protein_group_005570,scPDB:2qn7_1:accepted,2qn7_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005570/protein_group_005570_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005570/protein_group_005570_pocket_union.pdb,1,1,805,37,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_005570/source_sample_ids.txt,template
